date,orderid,id,order_time,side,symbol,account,order_shares,orderstatus,tif,exec_shares,exec_last_time,explicit_cxl_time,fill_rate,auto_cxl_time,cxl_time,hidden
2013-01-14 00:00:00.000,4606383341,jguber,1900-01-01 14:04:09.739,B,DELL,5AO05043,6000,PLACED,IOC,6000.0,1900-01-01 14:04:09.756,,1.0,,,True
2013-01-14 00:00:00.000,4606383345,jguber,1900-01-01 14:04:09.767,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.767,1900-01-01 14:04:09.767,True
2013-01-14 00:00:00.000,4606383348,jguber,1900-01-01 14:04:09.775,B,DELL,5AO05043,6000,PLACED,IOC,6000.0,1900-01-01 14:04:09.785,,1.0,,,True
2013-01-14 00:00:00.000,4606383352,jguber,1900-01-01 14:04:09.798,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.798,1900-01-01 14:04:09.798,True
2013-01-14 00:00:00.000,4606383354,jguber,1900-01-01 14:04:09.805,B,DELL,5AO05043,6000,PLACED,IOC,6000.0,1900-01-01 14:04:09.814,,1.0,,,True
2013-01-14 00:00:00.000,4606383372,jguber,1900-01-01 14:04:09.848,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.848,1900-01-01 14:04:09.848,True
2013-01-14 00:00:00.000,4606383375,jguber,1900-01-01 14:04:09.856,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.856,1900-01-01 14:04:09.856,True
2013-01-14 00:00:00.000,4606383379,jguber,1900-01-01 14:04:09.865,B,DELL,5AO05043,6000,UR OUT,IOC,0.0,,,0.0,1900-01-01 14:04:09.865,1900-01-01 14:04:09.865,True
2013-01-14 00:00:00.000,4606383390,jguber,1900-01-01 14:04:09.874,B,DELL,5AO05043,6000,UR OUT,DAY,0.0,,1900-01-01 14:04:09.977,0.0,,1900-01-01 14:04:09.977,False
2013-01-14 00:00:00.000,4606383727,jguber,1900-01-01 14:04:11.450,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.000,,1.0,,,False
2013-01-14 00:00:00.000,4606383730,jguber,1900-01-01 14:04:11.450,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:11.000,1900-01-01 14:04:11.464,1.0,,1900-01-01 14:04:11.464,False
2013-01-14 00:00:00.000,4606383728,jguber,1900-01-01 14:04:11.451,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.456,,1.0,,,False
2013-01-14 00:00:00.000,4606383729,jguber,1900-01-01 14:04:11.452,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.456,,1.0,,,False
2013-01-14 00:00:00.000,4606383731,jguber,1900-01-01 14:04:11.452,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:11.456,1900-01-01 14:04:11.465,1.0,,1900-01-01 14:04:11.465,False
2013-01-14 00:00:00.000,4606383734,jguber,1900-01-01 14:04:11.453,S,DELL,5AO05043,300,PLACED,DAY,300.0,1900-01-01 14:04:11.462,,1.0,,,False
2013-01-14 00:00:00.000,4606383735,jguber,1900-01-01 14:04:11.454,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.463,,1.0,,,False
2013-01-14 00:00:00.000,4606383789,jguber,1900-01-01 14:04:11.686,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.000,,1.0,,,False
2013-01-14 00:00:00.000,4606383790,jguber,1900-01-01 14:04:11.686,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:11.000,1900-01-01 14:04:11.696,1.0,,1900-01-01 14:04:11.696,False
2013-01-14 00:00:00.000,4606383791,jguber,1900-01-01 14:04:11.687,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.692,,1.0,,,False
2013-01-14 00:00:00.000,4606383792,jguber,1900-01-01 14:04:11.688,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.692,,1.0,,,False
2013-01-14 00:00:00.000,4606383793,jguber,1900-01-01 14:04:11.688,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:11.692,1900-01-01 14:04:11.699,1.0,,1900-01-01 14:04:11.699,False
2013-01-14 00:00:00.000,4606383794,jguber,1900-01-01 14:04:11.689,S,DELL,5AO05043,300,PLACED,DAY,300.0,1900-01-01 14:04:11.695,,1.0,,,False
2013-01-14 00:00:00.000,4606383795,jguber,1900-01-01 14:04:11.690,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:11.695,,1.0,,,False
2013-01-14 00:00:00.000,4606383849,jguber,1900-01-01 14:04:11.850,S,DELL,5AO05043,100,PLACED,DAY,100.0,1900-01-01 14:04:12.000,1900-01-01 14:04:12.029,1.0,,1900-01-01 14:04:12.029,False
2013-01-14 00:00:00.000,4606383846,jguber,1900-01-01 14:04:11.850,S,DELL,5AO05043,200,PLACED,DAY,200.0,1900-01-01 14:04:12.000,,1.0,,,False
